,tweet_id,tweet,sentiment,tweet_ts
14,7917, companies to watch  from the  sxsw trade show floor    apps  features  hardware  ipad  iphone,1,compani to watch from the sxsw trade show floor app featur hardwar ipad iphon
15,5849,    google marissa mayer  future of location  augmented reality  contextual discovery  make smartphones smarter   sxsw,1,googl marissa mayer futur of locat augment realiti contextu discoveri make smartphon smarter sxsw
16,1955,dl the  calyp app to get into  calyp casa at  sxsw the free mobile app is available in itunes app store   android market  see u there ,1,dl the calyp app to get into calyp casa at sxsw the free mobil app is avail in itun app store android market see u there
17,1472,well yeah   music   iphone nerds rt   my god  cute girls everywhere   i love when interactive ends and music begins  sxsw,2,well yeah music iphon nerd rt my god cute girl everywher i love when interact end and music begin sxsw
18,4730,apple opens pop up store at sxsw   via    apple  ipad2  technology  itunes  sxsw,1,appl open pop up store at sxsw via appl ipad2 technolog itun sxsw
19,2166,  atleast you are at  sxsw  i m not there and i have no ipad   doubleloser,1,atleast you are at sxsw i m not there and i have no ipad doublelos
20,3497,cue the choir music  sxsw    apple store  sxsw  ,1,cue the choir music sxsw appl store sxsw
21,165,anyone at  sxsw want an ipad 2  i m in line and will pick one up for someone willing to pay me 50 for me to grab 1 for you ,1,anyon at sxsw want an ipad 2 i m in line and will pick one up for someon will to pay me 50 for me to grab 1 for you
22,1352,                                  google to launch major new social network called circles  possibly today    sxsw,2,googl to launch major new social network call circl possibl today sxsw
23,6431,    p s    and google throw a b tchin  party  shout out to the spazmatics  sxsw,2,p s and googl throw a b tchin parti shout out to the spazmat sxsw
24,634,   i have a 3g iphone  after 3 hrs tweeting at  rise austin  it was dead   i need to upgrade  plugin stations at  sxsw ,0,i have a 3g iphon after 3 hr tweet at rise austin it wa dead i need to upgrad plugin station at sxsw
25,4544,does anyone know if google did talk about  circles at  sxsw  ,1,doe anyon know if googl did talk about circl at sxsw
26,568,     google set to launch new social network  circles today at  sxsw        ,1,googl set to launch new social network circl today at sxsw
27,775,google to launch major new social network called circles  possibly today    sxsw,1,googl to launch major new social network call circl possibl today sxsw
28,5368,standing on a long line surrounded by unemployed techies from brooklyn   am i at  sxsw or at the apple store on 5th ave waiting for ipad  ,3,stand on a long line surround by unemploy techi from brooklyn am i at sxsw or at the appl store on 5th ave wait for ipad
29,3087,wow   something ventured  was a kick ass film    google or blekko it for details  good choice    sxsw  startups  vc  movie  awesome,1,wow someth ventur wa a kick ass film googl or blekko it for detail good choic sxsw startup vc movi awesom
30,5398,    any ipad djs here  need one for 3am tuesday  douche bags need not apply   sxsw,1,ani ipad dj here need one for 3am tuesday douch bag need not appli sxsw
31,2491,all packed  a few too many  apple devices  alarm set for    see ya will at  sxsw  psyched to meet  finally  many of you guys ,2,all pack a few too mani appl devic alarm set for see ya will at sxsw psych to meet final mani of you guy
32,1993,check in and offers through google  cool     sxsw,2,check in and offer through googl cool sxsw
33,6275,    looks very interesting rt  google to launch major new social network called circles  possibly today    sxsw,2,look veri interest rt googl to launch major new social network call circl possibl today sxsw
34,1178,so i went the whole day w out my laptop   just used my ipad 1  things i missed  ftp  cloudapp  fast typing    skype   ipad  sxsw,0,so i went the whole day w out my laptop just use my ipad 1 thing i miss ftp cloudapp fast type skype ipad sxsw
35,3628,find out if you are stupid with our stupid game for you  ipad currently on special  sxsw sale   ,1,find out if you are stupid with our stupid game for you ipad current on special sxsw sale
36,328,overheard at  sxsw   google doesnt launch products at other people  events  ,1,overheard at sxsw googl doesnt launch product at other peopl event
37,7112,mayer  people drive 12bn  miles a year using google maps navigation  whither  sat nav   sxsw,1,mayer peopl drive 12bn mile a year use googl map navig whither sat nav sxsw
38,5838,    google launches geo social  offers  at  sxsw    deferomobile,1,googl launch geo social offer at sxsw deferomobil
39,6895,    we re giving away a shiny ipad 2 at sxsw quotables  simply sign up to be entered automatically         ipad2  sxsw,1,we re give away a shini ipad 2 at sxsw quotabl simpli sign up to be enter automat ipad2 sxsw
40,3550,  i heard the downtown location sold  1m in merchandise last night  sxsw  apple  ipad2,1,i heard the downtown locat sold 1m in merchandis last night sxsw appl ipad2
41,885,bummed to miss  sxsw this year  but we re all quarantined with the same kiddie cold  and i have garageband on my ipad to comfort me   fb,2,bum to miss sxsw thi year but we re all quarantin with the same kiddi cold and i have garageband on my ipad to comfort me fb
42,2007,lonely planet has made the austin guide free for  sxsw grab it  you never know when you will need it   ,1,lone planet ha made the austin guid free for sxsw grab it you never know when you will need it
43,8697,sxsw  groupme says it   s going global  first  it adds new social features     android  iphone  sms  stevemartocci  sxsw,1,sxsw groupm say it s go global first it add new social featur android iphon sm stevemartocci sxsw
44,2989,time warner cable to roll ipad app with live tv on march 15    entry  friends  house  sxsw,1,time warner cabl to roll ipad app with live tv on march 15 entri friend hous sxsw
45,8312, sxsw post mobile social party by      via   you could win photography gear   an ipad 2,1,sxsw post mobil social parti by via you could win photographi gear an ipad 2
46,5537,    awesome new version of   for iphone and new web site coming after  sxsw  want a demo  meet with   at  sxsw  pls rt,2,awesom new version of for iphon and new web site come after sxsw want a demo meet with at sxsw pl rt
47,1569,download   and let  do one in sf this is sweet           love the vid   via     sxsw,1,download and let do one in sf thi is sweet love the vid via sxsw
48,1415,nice move  apple set to open popup shop in core of  sxsw action  ,2,nice move appl set to open popup shop in core of sxsw action
49,8983,the motley fool  google prepares for its fight with facebook   circles may not have appeared at  sxsw but on its way  ,1,the motley fool googl prepar for it fight with facebook circl may not have appear at sxsw but on it way
50,5058,     google lost its way by caring too much for the business vs  the users       psych  sxsw,0,googl lost it way by care too much for the busi vs the user psych sxsw
51,6831,    update  recco    which  sxsw panels parties are def good times  follow friends who have been there b4 if you re a newbie ,1,updat recco which sxsw panel parti are def good time follow friend who have been there b4 if you re a newbi
52,579,     google to launch major new social network called circles  possibly today    sxsw    dejavu all over again ,1,googl to launch major new social network call circl possibl today sxsw dejavu all over again
53,1666,   i have only seen one ipad 2 at  sxsw so far   then 30  audience members raise their ipad 2  ,1,i have onli seen one ipad 2 at sxsw so far then 30 audienc member rais their ipad 2
54,1843, just a rumor     rt   google to launch major new social network called circles  possibly today    sxsw,1,just a rumor rt googl to launch major new social network call circl possibl today sxsw
55,529,tessie s  frontwoman for intimate stranger  has ink in the most painful places to get ink on  respect   location      sxsw,1,tessi s frontwoman for intim stranger ha ink in the most pain place to get ink on respect locat sxsw
56,3760,the    future  of contextual discovery is a nice way of articulating the intersection of social  mobile and search   sxsw,1,the futur of contextu discoveri is a nice way of articul the intersect of social mobil and search sxsw
57,7433,google reportedly to unveil new social network called circles  likely to launch in may    googlecircles  googleme  sxsw,1,googl reportedli to unveil new social network call circl like to launch in may googlecircl googlem sxsw
58,2522, sxsw tradeshow floor  engage w  our multi touch interactive wall  take part in an augmented reality in 3d and enter to win an ipad ,1,sxsw tradeshow floor engag w our multi touch interact wall take part in an augment realiti in 3d and enter to win an ipad
59,3484, sxsw fashion essential  13   photo on iphone with     or  ,1,sxsw fashion essenti 13 photo on iphon with or
60,7372,awesome iphone charging lockers at the registrant  lounge   sxsw  ,2,awesom iphon charg locker at the registr loung sxsw
61,1488,brilliant   i hope they have plenty of ipads   rt   apple to open pop up shop at sxsw  report       sxsw,2,brilliant i hope they have plenti of ipad rt appl to open pop up shop at sxsw report sxsw
62,3967,launchrock and vencorps want to give  30k to the    best    startups  sxsw  ,1,launchrock and vencorp want to give 30k to the best startup sxsw
63,2435,i composed a tweet so acerbic and cynical about ipad users that my phone crashed and dumped all my apps   twitterpower  sxsw  imthatgood,0,i compos a tweet so acerb and cynic about ipad user that my phone crash and dump all my app twitterpow sxsw imthatgood
64,6087,    if  sxsw taught me anything  its that i want an ipad 2 and i dont know why ,2,if sxsw taught me anyth it that i want an ipad 2 and i dont know whi
65,4542,does anyone have news from  sxsw  other than the  ipad 2 is a must have of course   ,2,doe anyon have news from sxsw other than the ipad 2 is a must have of cours
66,624,t minus 6 hours  social media mavens start performing degrading sex acts for an iphone charge   sxsw,1,t minu 6 hour social media maven start perform degrad sex act for an iphon charg sxsw
67,3404,  haha for which  the iphone or  sxsw ,1,haha for which the iphon or sxsw
68,3850,  is about to talk about the mistakes he made building netflix for the iphone   sxsw  netflixiphone,0,is about to talk about the mistak he made build netflix for the iphon sxsw netflixiphon
69,1804,i would say 75  of booths at this tradeshow are waffling off an ipad 2  about the same portion have reps dressed up as crazy characters   sxsw,1,i would say 75 of booth at thi tradeshow are waffl off an ipad 2 about the same portion have rep dress up as crazi charact sxsw
70,2937, ipad2   apple store  sxsw photos thanks to                 ,1,ipad2 appl store sxsw photo thank to
71,4855, google to launch major new social network called  circles  possibly today    sxsw,1,googl to launch major new social network call circl possibl today sxsw
72,2417, bjdproductions  apple opening pop up store in austin for  sxsw geekfest  apple     tech,1,bjdproduct appl open pop up store in austin for sxsw geekfest appl tech
73,3536,any thoughts on the path iphone photo app   sxsw  iphoneography  mobilephotography,1,ani thought on the path iphon photo app sxsw iphoneographi mobilephotographi
74,1779,  2 heck w being sick   apple is supposedly setting up mini store at  sxsw   i so have to go now     i m feeling 95   so plan 2 go,1,2 heck w be sick appl is supposedli set up mini store at sxsw i so have to go now i m feel 95 so plan 2 go
75,6129,    in line at what might very well be the popup apple store in austin  sxsw  ipad2,1,in line at what might veri well be the popup appl store in austin sxsw ipad2
76,489, 4sq sees facebook and google as competition via    checkins  sxsw,1,4sq see facebook and googl as competit via checkin sxsw
77,2296,google labs  fusion tables made election day foursquare visualization possible  sxsw  pr,2,googl lab fusion tabl made elect day foursquar visual possibl sxsw pr
78,3269, tech  lightbox photos wants to be your new  android camera app   sxsw   although android adoption is       technology,2,tech lightbox photo want to be your new android camera app sxsw although android adopt is technolog
79,4274,google  marissa mayer on the location based  fast  fun and future     sxsw  sxswi,2,googl marissa mayer on the locat base fast fun and futur sxsw sxswi
80,180,you spent   0  to come to sxsw      you have already used ipad 1      the wait is a couple city blocks      why   ipad2  sxsw  ,0,you spent 0 to come to sxsw you have alreadi use ipad 1 the wait is a coupl citi block whi ipad2 sxsw
81,4711,there is nothing quite like  sxsw to make you want an ipad  desperately  am almost drooling on the guy  next to me ,2,there is noth quit like sxsw to make you want an ipad desper am almost drool on the guy next to me
82,51,           help me forward this doc to all anonymous accounts  techies   ppl who can help us jam  libya  sxsw,1,help me forward thi doc to all anonym account techi ppl who can help us jam libya sxsw
83,5252,     social is too important for  google to screw up with a big launch circus   via    sxsw,1,social is too import for googl to screw up with a big launch circu via sxsw
84,7204,if you thought people spent a lot of time staring at their iphone last year at  sxsw    just wait ,1,if you thought peopl spent a lot of time stare at their iphon last year at sxsw just wait
85,4583,google  new social network  circles  being announced today    sxsw,1,googl new social network circl be announc today sxsw
86,7077,apple to open pop up shop at sxsw  report      sxsw,1,appl to open pop up shop at sxsw report sxsw
87,5399,    any ipad2  left at the apple store at  sxsw  anyone know    ,1,ani ipad2 left at the appl store at sxsw anyon know
88,1438,   new  ubersocial for  iphone now in the app store includes uberguide to  sxsw sponsored by  mashable  ,1,new ubersoci for iphon now in the app store includ uberguid to sxsw sponsor by mashabl
89,6541,    rt   google set to launch new social network  circles today at  sxsw,1,rt googl set to launch new social network circl today at sxsw
90,7456,cunning apple  keeping the  ipad2 popup store open late next to  sxsw parties for impulsive late night purchases  no regrets here   ,2,cun appl keep the ipad2 popup store open late next to sxsw parti for impuls late night purchas no regret here
91,7792,n22  opportunity knocks    codes valid      59p   11   infektd  sxsw  necro,1,n22 opportun knock code valid 59p 11 infektd sxsw necro
92,8178,lazers  rt   on display tonite     gsdm  google industry party     sxsw,1,lazer rt on display tonit gsdm googl industri parti sxsw
93,4469,correction  our cab driver is well prepared for  sxsw   he  got a laptop  a blackberry and iphone by his dashboard  he got a regular cell 2,1,correct our cab driver is well prepar for sxsw he got a laptop a blackberri and iphon by hi dashboard he got a regular cell 2
94,8016, sxsw  fmsignal marissa mayer from  google announces check ins in interview with john battelle   ,1,sxsw fmsignal marissa mayer from googl announc check in in interview with john battel
95,2339, sxsw  enchantment     it  like saying  please dont register  just go to google    hahah,1,sxsw enchant it like say pleas dont regist just go to googl hahah
96,6615,    rt   tweet this to register for exclusive passes to events  parties   ipad 2 during  sxsw me liberty and or a free  sxswpass,1,rt tweet thi to regist for exclus pass to event parti ipad 2 dure sxsw me liberti and or a free sxswpass
97,680,tim soo  invisible instruments are jaw dropping  iphone wii controller     lovemusicapi  sxsw,2,tim soo invis instrument are jaw drop iphon wii control lovemusicapi sxsw
98,6669,    so it appears apple is opening a pop up store in austin for  sxsw   the employees were trying to hide it  the beechwood tables gave it away ,1,so it appear appl is open a pop up store in austin for sxsw the employe were tri to hide it the beechwood tabl gave it away
99,6034,    horror stories from women in tech     sxsw  9to5,1,horror stori from women in tech sxsw 9to5
100,5755,    full  sxsw  touchingstories presentation   ,1,full sxsw touchingstori present
101,4671,i m listening to  congo  by os ipanemas via the discovr app on my iphone   live from  sxsw,1,i m listen to congo by os ipanema via the discovr app on my iphon live from sxsw
102,8772,such an eventful day earthquake  tsunami and  ipad 2 plus  sxsw    ,1,such an event day earthquak tsunami and ipad 2 plu sxsw
103,6127,    in ipad design headaches  take two tablets  call me in the am panel   excited to hear   live   sxsw,1,in ipad design headach take two tablet call me in the am panel excit to hear live sxsw
104,8850,tired of waiting in line   stores  best buy in austin announces ipad2 on sale today   sxswinfo  sxsw,1,tire of wait in line store best buy in austin announc ipad2 on sale today sxswinfo sxsw
105,4806,a smart entrepreneur would set up an on line consignment shop to help sell off all those outdated ipad1 units at  sxsw  ,1,a smart entrepreneur would set up an on line consign shop to help sell off all those outdat ipad1 unit at sxsw
106,1607,it  on    just walked in to the industry party by  gsdm    google austin  tx   sxsw,1,it on just walk in to the industri parti by gsdm googl austin tx sxsw
107,704,check out iphone developer meet up at sxsw      sxsw,2,check out iphon develop meet up at sxsw sxsw
108,828,is google launching its own social network  definitely not at   sxsw  but rumor still has it       googlecircles,1,is googl launch it own social network definit not at sxsw but rumor still ha it googlecircl
109,7262,anyone know if  sxsw apple store still has ipads ,1,anyon know if sxsw appl store still ha ipad
110,3749,a good point  rt   love it    at  sxsw   apple comes up with cool technology because they dont go to conferences ,2,a good point rt love it at sxsw appl come up with cool technolog becaus they dont go to confer
111,4658,apple opening downtown austin pop up store for  sxsw  rt   before it even begins  apple wins sxsw  ,2,appl open downtown austin pop up store for sxsw rt befor it even begin appl win sxsw
112,8426,what are the chances that   will not buy an ipad 2 at  sxsw  unless he already got one on the way  ,1,what are the chanc that will not buy an ipad 2 at sxsw unless he alreadi got one on the way
113,8099,about to start   google doodles  burning man to pac man and beyond  let  ser if i get new ideas for sapo  sxsw,1,about to start googl doodl burn man to pac man and beyond let ser if i get new idea for sapo sxsw
114,5174,     everyone here already has one   is not anti theft protection when you leave your laptop or ipad to go get your latte   sxsw  ,1,everyon here alreadi ha one is not anti theft protect when you leav your laptop or ipad to go get your latt sxsw
115,8330, lotta hipsters here  you could meet a guy in a fedora with an ipad 2     to his assistant on the stage at  sxsw,1,lotta hipster here you could meet a guy in a fedora with an ipad 2 to hi assist on the stage at sxsw
116,7152, tech before it even begins  apple wins  sxsw  ,2,tech befor it even begin appl win sxsw
117,5083,      did you hear  apple   s opening a temporary store just for  sxsw   via  ,2,did you hear appl s open a temporari store just for sxsw via
118,7190,for all you  sxsw folks taking notes on your ipad be sure to download dan bricklin  app notetaker  really sweet   thanks  ,2,for all you sxsw folk take note on your ipad be sure to download dan bricklin app notetak realli sweet thank
119,3876,  is that u   google to launch major new social network called circles  possibly today     sxsw,1,is that u googl to launch major new social network call circl possibl today sxsw
120,5214,     apple setting up pop up store austin  to sell bajillions of ipad2s to  sxsw attendees     brilliant ,2,appl set up pop up store austin to sell bajillion of ipad2 to sxsw attende brilliant
121,5415,    apple announces pop up store at  sxsw  see our take on the future of pop up stores here     client ,1,appl announc pop up store at sxsw see our take on the futur of pop up store here client
122,8107,at the vestibule of the temp apple store  20 min wait  for ipad2 at t 64g    they have replenished the supply   sxsw,2,at the vestibul of the temp appl store 20 min wait for ipad2 at t 64g they have replenish the suppli sxsw
123,4618,google bing search smackdown panel is in a giant room with not enough chairs  hope you have a search for  floor sitting    sxsw,3,googl bing search smackdown panel is in a giant room with not enough chair hope you have a search for floor sit sxsw
124,3426,lots of chatter around google  new social network  circles  sxsw  kek,1,lot of chatter around googl new social network circl sxsw kek
125,1845,watching a talk by the guy who hired jony ive into apple   sxsw  industrialdesign,1,watch a talk by the guy who hire joni ive into appl sxsw industrialdesign
126,6675,    sound of my voice was shot exploiting apple   best buy  14 day return policy on imacs  brilliant   sxsw,1,sound of my voic wa shot exploit appl best buy 14 day return polici on imac brilliant sxsw
127,5590,    cameron sinclair   spearheads japan disaster relief from  sxsw via twitter   iphone  ,1,cameron sinclair spearhead japan disast relief from sxsw via twitter iphon
128,4606,my tweeting from  sxsw been pretty non existent today thanks to the   iphone app  fail   hootsuite is the epic replacement   owllove,0,my tweet from sxsw been pretti non exist today thank to the iphon app fail hootsuit is the epic replac owllov
129,8235,arrived at google and    sxsw party  awesome ,2,arriv at googl and sxsw parti awesom
130,1687,   ipad lounge  recharge while you see  art from the  ipad show  daily for  sxsw    austin details  ,1,ipad loung recharg while you see art from the ipad show daili for sxsw austin detail
131,4659,apple opening pop up store in austin  sixth   congress  for  sxsw    ipad2,1,appl open pop up store in austin sixth congress for sxsw ipad2
132,1943, virtualwallet  sxsw  paypal we get physical goods cut  apple gets their 30  on software and virtual goods,1,virtualwallet sxsw paypal we get physic good cut appl get their 30 on softwar and virtual good
133,7469,original products for 1 device is nuts   sxsw  eg the ipad,3,origin product for 1 devic is nut sxsw eg the ipad
134,1768, sxsw    novelty of  ipad news apps fades fast among digital delegates  ,1,sxsw novelti of ipad news app fade fast among digit deleg
135,3668,juts in time for  sxsw    group texting war heats up  fast society launches new android app  updates iphone app  ,2,jut in time for sxsw group text war heat up fast societi launch new android app updat iphon app
136,8565,just got to the google party at speakeasy  free drinks and food coming out   sxsw,1,just got to the googl parti at speakeasi free drink and food come out sxsw
137,5079,     just fyi     breaking  google to launch major new social network called circles   today    via    sxsw  socialmedia,1,just fyi break googl to launch major new social network call circl today via sxsw socialmedia
138,414,crazy big crowds now   sxsw   apple store  sxsw  ,1,crazi big crowd now sxsw appl store sxsw
139,6959,    woah   dude at  sxsw gets branded tattoo in exchange for ipad   no really      what do you think ,1,woah dude at sxsw get brand tattoo in exchang for ipad no realli what do you think
140,8687,apple popup store at  sxsw  ,1,appl popup store at sxsw
141,6741,    the internet blurs    the ipad fades          at  sxsw,1,the internet blur the ipad fade at sxsw
142,4454,sitting on the floor behind a guy who  fondling his new ipad 2 in a very disturbing way   sxsw,0,sit on the floor behind a guy who fondl hi new ipad 2 in a veri disturb way sxsw
143,2199,giving away an ipad 2 at this panel  wish me luck   sxsw,2,give away an ipad 2 at thi panel wish me luck sxsw
144,1508,the world  largest ipad   sxsw  ,2,the world largest ipad sxsw
145,7739,iphone version of flipboard hopefully out this summer  sxflip  sxsw,2,iphon version of flipboard hope out thi summer sxflip sxsw
146,7302,setting up for the google  gsdm   sxsw party  it  going to be a ma zing  check out events at sxsurrogates com and come on out ,2,set up for the googl gsdm sxsw parti it go to be a ma zing check out event at sxsurrog com and come on out
147,5588,    calvin is now the geek charlie sheen with his goddesses           google  sxsw,1,calvin is now the geek charli sheen with hi goddess googl sxsw
148,2009,lonely planet  free guide to austin    iphone  sxsw,1,lone planet free guid to austin iphon sxsw
149,5909,    google to launch major new social network called circles  possibly today by     via    sxsw,1,googl to launch major new social network call circl possibl today by via sxsw
150,2430, apple and  hp are  popping in  for  sxsw  both setting up temp sites     austin  atx  austinbusiness,1,appl and hp are pop in for sxsw both set up temp site austin atx austinbusi
151,5831,    google is not launching any products at  sxsw  ,1,googl is not launch ani product at sxsw
152,7553,seated for turkey bowl  armadillo   kill list sxxpress passes acquired  now if i could only buy an ipad   sxsw,2,seat for turkey bowl armadillo kill list sxxpress pass acquir now if i could onli buy an ipad sxsw
153,3901,has made it into the press room got the swag and registered for an ipad 2  hopefully get to meet mike tyson and    sxsw,1,ha made it into the press room got the swag and regist for an ipad 2 hope get to meet mike tyson and sxsw
154,7974,i still use tweetie for mac   i m running leopard  i will be a pariah at  sxsw  i wish i at least had an android  something to make me cool ,2,i still use tweeti for mac i m run leopard i will be a pariah at sxsw i wish i at least had an android someth to make me cool
155,3264,google might launch circles today at  sxsw       mobile491,1,googl might launch circl today at sxsw mobile491
156,8256,in my next life i m coming back as an ipad 2  women cant keep their hands off this thing   sxsw,2,in my next life i m come back as an ipad 2 women cant keep their hand off thi thing sxsw
157,1876,win an ipad 2 at sxsw via      sxsw  ,2,win an ipad 2 at sxsw via sxsw
158,4400,i was on my way here for the android party but hewlitt packard has a badass thing goiing with free food and booze and music  i love  sxsw,1,i wa on my way here for the android parti but hewlitt packard ha a badass thing goi with free food and booz and music i love sxsw
159,893,hootsuite mobile for  sxsw   updates for iphone  blackberry   android  shared by paul       shared,1,hootsuit mobil for sxsw updat for iphon blackberri android share by paul share
160,8501,ipad tweeting  riding thru the 210   sxsw,2,ipad tweet ride thru the 210 sxsw
161,1810,we setup a  sxsw demo restaurant page  sign up or download our iphone app to check it out     say hi to   at  sxswi,2,we setup a sxsw demo restaur page sign up or download our iphon app to check it out say hi to at sxswi
162,6987,    yes  updated iphone app has song info   24 7 stream  others also live video streaming for  sxsw  ,2,ye updat iphon app ha song info 24 7 stream other also live video stream for sxsw
163,1878,has an ipad 2 in his hands  and it is exquisite   sxsw,2,ha an ipad 2 in hi hand and it is exquisit sxsw
164,1907,best schwag i have seen at  sxsw is the   battery charger for your iphone  how do i get one    ,2,best schwag i have seen at sxsw is the batteri charger for your iphon how do i get one
165,5216,     apple to open pop up store at  sxsw in time for  ipad2 sales  ,1,appl to open pop up store at sxsw in time for ipad2 sale
166,5962,    have decided i need an ipad   usguys  sxsw   i agree  you do ,2,have decid i need an ipad usguy sxsw i agre you do
167,4319,yup  rt   i woke up before my iphone finished recharging  that means i got enough sleep last night  right   sxsw,1,yup rt i woke up befor my iphon finish recharg that mean i got enough sleep last night right sxsw
168,3174,platform for concertgoers launches android app in time for sxsw      sxsw  ,1,platform for concertgo launch android app in time for sxsw sxsw
169,6652,    server challenge is a huge hit at  sxsw  come by booth 400 to try your hand  win an iphone 4 bottle opener case by beating 2 mins ,1,server challeng is a huge hit at sxsw come by booth 400 to tri your hand win an iphon 4 bottl open case by beat 2 min
170,4502,anyone find the makeshift  apple store at  sxsw yet ,2,anyon find the makeshift appl store at sxsw yet
171,161,the apple  sxsw store still has ipad 2  and short lines ,2,the appl sxsw store still ha ipad 2 and short line
172,1221,according to google  marissa mayer  future of location  augmented reality  contextual discovery  making smartphones smarter   sxsw  fb,1,accord to googl marissa mayer futur of locat augment realiti contextu discoveri make smartphon smarter sxsw fb
173,4594,money  money  money      apple heads to  sxsw  sets up temporary store in austin   via  ,1,money money money appl head to sxsw set up temporari store in austin via
174,1674, oh    there goes search    watch out google    seems to be coming after you   launch  sxsw,1,oh there goe search watch out googl seem to be come after you launch sxsw
175,5655,    dawn  ipad app of the week is up early to help you prep for  sxsw   ,2,dawn ipad app of the week is up earli to help you prep for sxsw
176,4382,what are my  seattle  sxsw peeps up to today  replacement iphone in hand   i m back in action ,2,what are my seattl sxsw peep up to today replac iphon in hand i m back in action
177,2762, on iphone  mute tags  people  conversations      so does   for those on mobile  sxsw  notatsxsw    rt  ,1,on iphon mute tag peopl convers so doe for those on mobil sxsw notatsxsw rt
178,2434,discovered a new conversation icebreaker   hey  is that the new ipad 2  why yes it is      sxsw  social,2,discov a new convers icebreak hey is that the new ipad 2 whi ye it is sxsw social
179,6575,    rt   it  not a rumor  apple is opening up a temporary store in downtown austin for  sxsw and the ipad 2 launch  ,1,rt it not a rumor appl is open up a temporari store in downtown austin for sxsw and the ipad 2 launch
180,2802,what a great blog on the latest news of  sxsw     like the opening of an  apple store     sxsw   ,2,what a great blog on the latest news of sxsw like the open of an appl store sxsw
181,5108,       bt  sxsw  having a really great social search is probably a very good idea for  google   ,2,bt sxsw have a realli great social search is probabl a veri good idea for googl
182,3470,  here  your personal guide to austin for  sxsw  ,1,here your person guid to austin for sxsw
183,1566,    apple to open temporary store friday in the scarbrough building at 6th and congress  sxsw  ,1,appl to open temporari store friday in the scarbrough build at 6th and congress sxsw
184,217,not to be a rumor monger  but this was a good read     google  circles preview    sxsw   by   via    socbiz  fb,2,not to be a rumor monger but thi wa a good read googl circl preview sxsw by via socbiz fb
185,4204,i realllllllly need to upgrade my phone haha rt   10 iphone apps you   ll probably need and use during  sxsw  ,2,i realllllllli need to upgrad my phone haha rt 10 iphon app you ll probabl need and use dure sxsw
186,5441,    apple likes it when you pay them  as long as the gadget will be liked by many  this closed system will work   pnid  sxsw,1,appl like it when you pay them as long as the gadget will be like by mani thi close system will work pnid sxsw
187,8198,spotted at  sxsw  man in need of an ipad  2          sxswi,2,spot at sxsw man in need of an ipad 2 sxswi
188,8975,its  piday at the  google  sxsw booth   ,1,it piday at the googl sxsw booth
189,7550,thanks for the free drinks google    sxsw    speakeasy w  47 others   ,2,thank for the free drink googl sxsw speakeasi w 47 other
190,4121,cool  apple to open temporary store at sxsw    sxsw,2,cool appl to open temporari store at sxsw sxsw
191,2864,if you prefer your news on iphone  ipad or droid    has apps for that          all on mobile apps now   sxsw,2,if you prefer your news on iphon ipad or droid ha app for that all on mobil app now sxsw
192,1251,listening to some australian knob  celebrity journalist  shoot  and re shoot and re shoot  his iphone vid about meeting the celebs at  sxsw,1,listen to some australian knob celebr journalist shoot and re shoot and re shoot hi iphon vid about meet the celeb at sxsw
